79.3551473,13.6703394,smooth 
79.355183,13.6703959,smooth 
79.3552306,13.6704327,smooth 
79.355293,13.6704581,smooth 
79.3553482,13.6704727,smooth 
79.3554119,13.6704894,smooth 
79.3554759,13.6705061,smooth 
79.3555527,13.6705187,smooth 
79.3556246,13.6705432,smooth 
79.3556893,13.6705745,smooth 
79.3557533,13.6705919,smooth 
79.3558172,13.6706189,smooth 
79.3558876,13.6706438,smooth 
79.3559584,13.6706675,smooth 
79.3560209,13.6706855,smooth 
79.3560773,13.6707119,smooth 
79.3561472,13.670736,smooth 
79.3562093,13.6707594,smooth 
79.3562655,13.6707816,smooth 
79.3563287,13.6708153,smooth 
79.3564092,13.6708416,smooth 
79.3564906,13.6708662,smooth 
79.3565694,13.6709095,smooth 
79.3566517,13.6709568,smooth 
79.3567246,13.6709952,smooth 
79.3567976,13.6710375,smooth 
79.3568704,13.6710739,smooth 
79.3569375,13.6711132,smooth 
79.3569998,13.6711513,smooth 
79.3570649,13.6711911,smooth 
79.3571275,13.6712321,smooth 
79.3571772,13.6712833,smooth 
79.3572219,13.6713363,smooth 
79.357269,13.671378,smooth 
79.3572864,13.6714183,smooth 
79.3572991,13.671447,smooth 
79.3572996,13.6714488,smooth 
79.357319,13.671481,smooth 
79.3573248,13.6715226,smooth 
79.3573324,13.6715702,partially ok
79.3573344,13.6716186,partially ok
79.357339,13.6716664,partially ok
79.35734,13.671672,partially ok
79.3573536,13.6717195,partially ok
79.3573756,13.6717673,partially ok
79.3574177,13.671795,partially ok
79.3574445,13.6718125,partially ok
79.3574909,13.6718109,partially ok
79.3575285,13.6717922,partially ok
79.3575605,13.6717633,partially ok
79.357582,13.671729,partially ok
79.3576026,13.6716844,partially ok
79.357614,13.6716399,partially ok
79.3576246,13.6715926,partially ok
79.3576404,13.6715444,partially ok
79.3576524,13.6714952,partially ok
79.3576631,13.671442,partially ok
79.3576697,13.6713897,partially ok
79.3576767,13.671336,partially ok
79.3576838,13.6712819,partially ok
79.3576815,13.6712385,partially ok
79.3576887,13.6711763,partially ok
79.3576953,13.6711131,partially ok
79.3576994,13.6710518,partially ok
79.357702,13.6709895,partially ok
79.3577039,13.6709261,partially ok
79.3577054,13.6708614,partially ok
79.3577012,13.6707999,partially ok
79.357682,13.6707349,partially ok
79.3576511,13.6706705,partially ok
79.3576147,13.6706112,partially ok
79.3575721,13.6705591,partially ok
79.3575226,13.6705103,partially ok
79.3574702,13.6704664,partially ok
79.3574168,13.6704267,partially ok
79.3573613,13.6703943,partially ok
79.3573011,13.6703607,partially ok
79.3572401,13.6703271,partially ok
79.3571788,13.6702917,partially ok
79.3571123,13.6702537,partially ok
